# pi_control,v0.2.0
# log for:, actuator.position
# date:, 2018_07_25_15_30_35
# meta:, 
# comment:,
time (s), position (raw)
62.54548886199973,14261
62.55570184499993,14266
62.5650855519998,14267
62.56625206999979,14267
62.575904892999915,14275
62.58562724699959,14277
62.599164730999746,14277
62.608934272999704,14279
62.619022933,14283
62.62881028799984,14283
62.63843055799998,14290
62.64856968699996,14297
62.6584053229999,14300
62.66796002000001,14305
62.68291407599963,14309
62.69243257499966,0
62.70193060499969,14320
62.71175842899993,14322
62.72134005399994,14326
62.73079032299984,14331
62.7408934619998,14332
62.750532742999894,14330
62.76004431499996,14338
62.77005036899982,14338
62.78005918399958,14347
62.78964289199985,14348
62.79527563699958,14348
62.80003493899994,14352
62.810115159999896,14357
62.81975626399981,14360
62.83020008199992,14361
62.840182229999755,14367
62.849828021999656,14366
62.86042335100001,14370
62.8703486229997,14374
62.880001029999676,14379
62.89045625399967,14382
62.90040277599974,14384
62.91007309999986,14386
62.92024082199987,14391
62.93059755499962,14391
62.940265430999716,14405
62.9504528399998,14402
62.96083504299986,14408
62.970487813999625,14411
62.980601577000016,14414
62.99098263399992,14420
63.00063076999959,14421
63.010737605999566,14423
63.0212100699996,14426
63.030839662999824,14429
63.04126790800001,14430
63.0515360469999,14434
63.061175119999916,14442
63.07416848599996,14445
63.08382386099993,14450
63.093323349,14450
63.10323851799967,14457
63.113177019999966,14457
63.12273426899992,14460
63.13304100199957,14467
63.14301278599987,14471
63.1526397749999,14472
63.16268666299993,14473
63.173167095999816,14482
63.182799813999736,14482
63.185282173999894,14482
63.192876181999964,14487
63.20332458299981,14489
63.21293651999986,14492
63.223164086,14494
63.23347003899971,14496
63.24310416299977,14496
63.25318448899998,14501
63.263470909999796,14502
63.27308024299964,14508
63.283049213999675,14508
63.29298839299963,14521
63.30258491299992,14523
63.312526488,14522
63.322674105999795,14530
63.33233317899976,14532
63.342086210999696,14537
63.35207643199965,14543
63.36166763999972,14545
63.37134504599999,14544
63.38128016199971,14547
63.39086610999993,14549
63.40033523399961,14551
63.41023977699979,14552
63.41984515199965,14563
63.42934870299996,14566
63.43921590199989,14570
63.44882143299992,14572
63.458306442999856,14575
63.468510778999644,14582
63.47853995899959,14579
63.4880983019998,14585
63.49842977499975,14588
63.50842124599967,14590
63.518070474999604,14591
63.52805116499985,14595
63.53846513899998,14602
63.54835895299993,14607
63.55852709099963,14610
63.57054529399966,14614
63.58029191999958,14619
63.59074766499998,14621
63.60097231399959,14620
63.610789981999915,14617
63.62118213299982,14627
63.631305530999725,14627
63.64105705299971,14630
63.651638527999694,14635
63.661794842999825,14635
63.67154631299991,14648
63.6819850779998,14648
63.69338614199978,14650
63.70299271399972,14654
63.71331444799989,14652
63.723546388999694,14661
63.73326551499986,14667
63.74349735199985,14667
63.75369856399993,14673
63.76341867899964,14673
63.77366035999967,14682
63.78386391499998,14681
63.793556217999594,14685
63.8037580539999,14689
63.80527738699993,14689
63.81452635300002,14693
63.824164904999634,14693
63.834480388999964,14700
63.84473785099999,14708
63.854415934999906,14711
63.86465198999986,14715
63.87495507799986,14718
63.884680296999704,14724
63.89493973899971,14724
63.9051373569996,14726
63.914848096999776,14731
63.92511326699969,14732
63.935191613999905,14733
63.94484454099984,14739
63.95525184799999,14744
63.96542378899994,14744
63.975125257999935,14743
63.98560345099986,14747
63.995765755999855,14746
64.00549300699959,14757
64.0159045319997,14760
64.02611168199974,14766
64.03587981800001,14772
64.0445358109996,14772
64.04653441799974,14772
64.05668625499993,14774
64.06647449499997,14779
64.07697195899982,14777
64.08709593099957,14782
64.09678922299963,14784
64.10729501999958,14790
64.1174496689996,14798
64.12718749199985,14801
64.13760292399957,14802
64.14771319800002,14805
64.15742794899961,14809
